dist_m_grid,current_mA,voltage_mV,ax_x100,ay_x100,az_x100,amag_x100,imu_ax_g,imu_ay_g,imu_az_g,imu_total_g_reported,accel_total_g,imu_total_g,accel_total_m_s2,accel_dynamic_g,accel_dynamic_m_s2,imu_ax_m_s2,imu_ax_bias_m_s2,imu_ax_dynamic_m_s2,imu_ax_dynamic_smooth_m_s2,imu_ay_m_s2,imu_ay_bias_m_s2,imu_ay_dynamic_m_s2,imu_ay_dynamic_smooth_m_s2,imu_az_m_s2,imu_az_bias_m_s2,imu_az_dynamic_m_s2,imu_az_dynamic_smooth_m_s2,accel_longitudinal_raw_g,accel_longitudinal_m_s2,imu_forward_dynamic_m_s2,accel_longitudinal_smooth_m_s2,jerk_m_s3,accel_m_s2,accel_mag,lat,lon,elev,x,y,gps_dt_s,gps_dist_m,gps_cumdist_m,gps_speed_m_s_raw,gps_speed_m_s,gps_speed_kph,dt_s,dist_m,elev_diff_m,speed_m_s,speed_kph,gps_longitudinal_accel_raw_m_s2,gps_longitudinal_accel_m_s2,gps_longitudinal_accel_abs_m_s2,grade_raw_pct,grade_pct,uphill_grade_pct,downhill_grade_pct,power_w,energy_wh,energy_j,cum_energy_j,cum_energy_wh,efficiency_wh_per_km,timestamp_ms,time,gps_time
0.0,14579.0,24288.0,66.0,-978.0,51.0,982.0,0.066,-0.978,0.051,0.982,0.9815503043654971,0.9815503043654971,9.625720292305902,-0.01844969563450294,-0.18092970769409822,0.6472389,0.544269075,0.10296982499999996,-0.007354987500000021,-9.590903699999998,-9.586000374999998,-0.004903325000000791,0.036774937499999716,0.50013915,0.30400615,0.196133,0.09561483750000005,0.066,0.6472389,-0.007354987500000021,-0.007354987500000021,-0.004092925709515871,9.625720292305902,0.9815503043654971,43.662208,-79.39598,108.8,0.0,0.0,0.0,0.0,0.0,0.0,0.7822765750104439,2.8161956700375983,0.599,0.0,0.0,0.7822765750104439,2.8161956700375983,0.0,0.7822765750104439,0.7822765750104439,0.0,0.0,0.0,-0.0,354.094752,0.058917432346666666,212.102756448,321.26840275200004,0.08924122298666667,40.81850196177701,161313.0,1783556767313000.0,1783556767000000.0
1.0,20026.561816539255,24288.0,58.96923853315361,-981.8349608000981,31.82519599950984,983.917480400049,0.05896923853315361,-0.981834960800098,0.03182519599950984,0.983917480400049,0.9842407218932603,0.9842407218932603,9.65210427535454,-0.015759278106739764,-0.15454572464545951,0.5782906830611508,0.5474030848608568,0.03088759820029402,-0.008921992430428415,-9.62851181833028,-9.589134384860856,-0.03937743346942526,0.032073922708714356,0.3120985583485932,0.30400615,0.008092408348593205,0.05957372410014708,0.05896923853315361,0.5782906830611508,-0.008921992430428415,-0.008921992430428415,-0.0041060936706347525,9.65210427535454,0.9842407218932603,43.66220288671893,-79.39599022656213,108.8,-0.8235687394557257,-0.5652220892027875,0.639160133349672,1.0,1.0,1.0,1.282276575010444,4.616195670037598,0.597082519599951,1.0,0.0,1.282276575010444,4.616195670037598,0.5,0.5322765750104439,0.5322765750104439,0.0,0.0,0.0,0.0,486.4051334001054,0.08063354833770628,290.2807740157426,535.0140464148793,0.14861501289302204,28.958701644778756,161693.9394394764,1783556767693939.5,1783556767639160.2
2.0,22491.76839854944,24288.0,55.0,-981.2500292638495,24.666627648200784,982.3809802512851,0.055,-0.9812500292638494,0.024666627648200785,0.9823809802512852,0.9831475947688806,0.9831475947688806,9.641384360240242,-0.0168524052311194,-0.16526563975975705,0.53936575,0.5485303047495317,-0.009164554749531664,-0.010448745250468391,-9.622775599480327,-9.590903699999998,-0.031871899480329514,0.027493664248594372,0.24189698402622822,0.30721662625234175,-0.06531964222611356,0.03152145699437972,0.055,0.53936575,-0.010448745250468391,-0.010448745250468391,-0.004654008853885315,9.641384360240242,0.9831475947688806,43.66219711907827,-79.39599966662765,108.8,-1.5837990841500251,-1.2027770874676413,1.0,1.7951202201090637,2.0,1.7951202201090637,1.7857159489278591,6.4285774161402935,0.5958690490125642,1.7951202201090637,0.0,1.7857159489278591,6.4285774161402935,0.9009994839719471,0.33991834253248787,0.33991834253248787,0.0,0.0,0.0,0.0,546.2800708639688,0.09042340743356185,325.5242667608227,690.58482993912,0.1918291194275333,22.263214017198667,161986.91583752426,1783556767986915.8,1783556768130951.0
3.0,21090.37669832281,24288.0,55.0,-974.9347447778496,33.08700696286724,976.366423597952,0.055,-0.9749347447778496,0.03308700696286724,0.9763664235979519,0.9771491340734477,0.9771491340734477,9.582559555661376,-0.022850865926552236,-0.22409044433862346,0.53936575,0.5470557384494213,-0.007689988449421414,-0.01192331155057864,-9.560843814875698,-9.590903699999998,0.030059885124300675,0.02306996534826372,0.32447269683240204,0.314589457752893,0.00988323907950904,0.013826661393056754,0.055,0.53936575,-0.01192331155057864,-0.01192331155057864,-0.005895219277953077,9.582559555661376,0.9771491340734477,43.66219050306596,-79.39600808700696,108.8,-2.26191173691121,-1.9341110892162103,1.0,2.324615542211488,3.0,2.324615542211488,2.2936144419760467,8.25701199111377,0.5955683211798976,2.324615542211488,0.0,2.2936144419760467,8.25701199111377,1.173645638071347,0.22229217305809384,0.22229217305809384,0.0,0.0,0.0,0.0,512.2430692488643,0.08475097555531244,305.1035119991248,770.7324004010352,0.214092333444732,22.263214017198667,162165.84889796094,1783556768165849.0,1783556768431678.8
4.0,19688.984998096177,24288.0,55.0,-968.6194602918497,41.5073862775337,970.3518669446188,0.055,-0.9686194602918496,0.0415073862775337,0.9703518669446187,0.971150673378015,0.971150673378015,9.52373475108251,-0.02884932662198507,-0.28291524891748987,0.53936575,0.5455811721493111,-0.006215422149311164,-0.013397877850688892,-9.498912030271068,-9.590903699999998,0.09199166972893089,0.018646266447933067,0.40704840963857586,0.3219622892534442,0.08508612038513164,-0.003868134208266212,0.055,0.53936575,-0.013397877850688892,-0.013397877850688892,-0.0071364297020208405,9.52373475108251,0.971150673378015,43.66218388705364,-79.39601650738628,108.8,-2.9400243896723945,-2.6654450909647793,1.0,2.8541108643139115,4.0,2.8541108643139115,2.8015129350242347,10.085446566087246,0.5952675933472309,2.8541108643139115,0.0,2.8015129350242347,10.085446566087246,1.4462917921707463,0.10466600358369982,0.10466600358369982,0.0,0.0,0.0,0.0,478.20606763376,0.07907854367706303,284.6827572374269,850.8799708629504,0.23635554746193066,22.263214017198667,162344.7819583976,1783556768344782.0,1783556768732406.8
5.0,8881.180758543653,24288.0,77.1533529729955,-973.0338658810801,39.424280021636946,976.9661341189199,0.07715335297299551,-0.9730338658810802,0.03942428002163695,0.9769661341189197,0.9768990256748936,0.9768990256748936,9.580106830134696,-0.023100974325106435,-0.226543169865305,0.7566159289326264,0.5496705662640424,0.20694536266858396,-0.019613300000000056,-9.542202560842695,-9.591069755421346,0.04886719457865159,0.0009963325280848087,0.38662011567418597,0.3533715108426949,0.033248604831491085,-0.07911742168538989,0.07715335297299551,0.7566159289326264,-0.019613300000000056,-0.019613300000000056,-0.007948438890356613,9.580106830134696,0.9768990256748936,43.66217722108473,-79.39602484664702,108.8,-3.611604376480827,-3.4023012936384536,1.0,3.3228337912546206,5.0,3.3228337912546206,3.2534506775442753,11.712422439159392,0.5961693294054009,0.11018097374594403,0.0,3.2534506775442753,11.712422439159392,1.6317015246996711,-0.0001043652076797138,0.0001043652076797138,0.0,0.0,0.0,0.0,215.70611826350827,0.03573091685537047,128.63130067933372,1055.0401657367922,0.2930667127046645,26.310175980512522,163120.3533945292,1783556769120353.5,1783556769033866.0
6.0,11505.778715087838,24288.0,69.46920390242465,-973.341231843903,34.19905865364876,976.658768156097,0.06946920390242464,-0.973341231843903,0.03419905865364876,0.976658768156097,0.9765214004309452,0.9765214004309452,9.57640359153613,-0.023478599569054796,-0.23024640846387118,0.6812601684497126,0.5541919118930172,0.12706825655669535,-0.019613300000000056,-9.54521679126201,-9.592576870631005,0.04736007936899362,0.010039023786034284,0.3353781985458046,0.35638574126201145,-0.021007542716206834,-0.08514588252402297,0.06946920390242464,0.6812601684497126,-0.019613300000000056,-0.019613300000000056,-0.005419722095627957,9.57640359153613,0.9765214004309452,43.66217015166759,-79.39603253079609,108.8,-4.230426702331164,-4.1837546647968304,1.0,3.3007602435642958,6.0,3.3007602435642958,3.2534506775442753,11.712422439159392,0.5977061592195151,1.1101809737459438,0.0,3.2534506775442753,11.712422439159392,1.1125919100433403,-0.0010515814477572404,0.0010515814477572404,0.0,0.0,0.0,0.0,279.4523534320534,0.04646208263810164,167.26349749716593,1131.9009327537826,0.3144169257649396,26.310175980512522,163305.0803381857,1783556769305080.2,1783556769341231.8
7.0,14130.376671632024,24288.0,61.78505483185378,-973.6485978067259,28.973837285660572,976.3514021932741,0.06178505483185378,-0.9736485978067259,0.02897383728566057,0.9763514021932741,0.9761437751869968,0.9761437751869968,9.572700352937563,-0.023856224813003153,-0.23394964706243737,0.6059044079667988,0.5587132575219921,0.04719115044480676,-0.019613300000000056,-9.548231021681326,-9.594083985840664,0.045852964159335645,0.019081715043983757,0.2841362814174232,0.359399971681328,-0.07526369026390475,-0.09117434336265605,0.06178505483185378,0.6059044079667988,-0.019613300000000056,-0.019613300000000056,-0.002891005300899299,9.572700352937563,0.9761437751869968,43.662163082250444,-79.39604021494517,108.8,-4.849249028181501,-4.965208035955206,1.0,3.2786866958739713,7.0,3.2786866958739713,3.2534506775442753,11.712422439159392,0.5992429890336293,2.1101809737459436,0.0,3.2534506775442753,11.712422439159392,0.5934822953870094,-0.001998797687834767,0.001998797687834767,0.0,0.0,0.0,0.0,343.1985886005986,0.057193248420832815,205.89569431499814,1208.761699770773,0.33576713882521475,26.310175980512522,163489.80728184222,1783556769489807.2,1783556769648597.8
8.0,16754.97462817621,24288.0,54.10090576128292,-973.9559637695487,23.74861591767238,976.0440362304513,0.054100905761282916,-0.9739559637695486,0.023748615917672383,0.9760440362304513,0.9757661499430484,0.9757661499430484,9.568997114338996,-0.02423385005695151,-0.23765288566100354,0.530548647483885,0.5632346031509669,-0.03268595566708182,-0.019613300000000056,-9.551245252100644,-9.59559110105032,0.04434584894967767,0.028124406301933233,0.23289436428904184,0.3624142021006445,-0.12951983781160267,-0.09720280420128914,0.054100905761282916,0.530548647483885,-0.019613300000000056,-0.019613300000000056,-0.0003622885061706424,9.568997114338996,0.9757661499430484,43.6621560128333,-79.39604789909424,108.8,-5.468071354031839,-5.746661407113583,1.0,3.2566131481836464,8.0,3.2566131481836464,3.2534506775442753,11.712422439159392,0.6007798188477433,3.1101809737459436,0.0,3.2534506775442753,11.712422439159392,0.0743726807306786,-0.002946013927912294,0.002946013927912294,0.0,0.0,0.0,0.0,406.9448237691438,0.06792441420356399,244.52789113283035,1285.6224667877634,0.3571173518854898,26.310175980512522,163674.53422549876,1783556769674534.2,1783556769955963.8
9.0,24489.272317645096,24288.0,52.319147698102995,-969.8468067773442,28.7914886188618,971.8468067773442,0.052319147698102995,-0.9698468067773441,0.0287914886188618,0.9718468067773441,0.9716865206210707,0.9716865206210707,9.528989617448621,-0.028313479378929286,-0.27766038255137687,0.5130755697736018,0.5615663339547204,-0.04849076418111864,-0.044129925000000014,-9.510948187683042,-9.590903699999998,0.07995551231695724,0.020364456158478123,0.28234805186416106,0.3752399839547203,-0.09289193209055925,-0.10065378395472033,0.052319147698102995,0.5130755697736018,-0.044129925000000014,-0.044129925000000014,-0.03043577590758699,9.528989617448621,0.9716865206210707,43.66214866809105,-79.39605506807942,108.8,-6.04540633755871,-6.558549215454131,1.0,3.2518245793111094,9.0,3.2518245793111094,3.2518245793111094,11.706568485519993,0.5935276590792412,0.8567302962016682,0.0,3.2518245793111094,11.706568485519993,-0.0016260982331661325,-0.0038947704346442365,0.0038947704346442365,0.0,0.0,0.0,0.0,594.7954460509641,0.09806344908581957,353.0284167089505,1742.6267638888175,0.484062989969116,30.357137943826377,164450.97857607427,1783556770450978.5,1783556770263829.5
