dist_m_grid,current_mA,voltage_mV,ax_x100,ay_x100,az_x100,amag_x100,imu_ax_g,imu_ay_g,imu_az_g,imu_total_g_reported,accel_total_g,imu_total_g,accel_total_m_s2,accel_dynamic_g,accel_dynamic_m_s2,imu_ax_m_s2,imu_ax_bias_m_s2,imu_ax_dynamic_m_s2,imu_ax_dynamic_smooth_m_s2,imu_ay_m_s2,imu_ay_bias_m_s2,imu_ay_dynamic_m_s2,imu_ay_dynamic_smooth_m_s2,imu_az_m_s2,imu_az_bias_m_s2,imu_az_dynamic_m_s2,imu_az_dynamic_smooth_m_s2,accel_longitudinal_raw_g,accel_longitudinal_m_s2,imu_forward_dynamic_m_s2,accel_longitudinal_smooth_m_s2,jerk_m_s3,accel_m_s2,accel_mag,lat,lon,elev,x,y,gps_dt_s,gps_dist_m,gps_cumdist_m,gps_speed_m_s_raw,gps_speed_m_s,gps_speed_kph,dt_s,dist_m,elev_diff_m,speed_m_s,speed_kph,gps_longitudinal_accel_raw_m_s2,gps_longitudinal_accel_m_s2,gps_longitudinal_accel_abs_m_s2,grade_raw_pct,grade_pct,uphill_grade_pct,downhill_grade_pct,power_w,energy_wh,energy_j,cum_energy_j,cum_energy_wh,efficiency_wh_per_km,timestamp_ms,time,gps_time
0.0,20876.0,24288.0,88.0,-1022.0,-60.0,1028.0,0.088,-1.022,-0.06,1.028,1.0275349142486594,1.0275349142486594,10.076675266816615,0.027534914248659392,0.2700252668166156,0.8629851999999999,0.8237586,0.03922659999999989,0.33342609999999995,-10.0223963,-9.473223899999999,-0.5491724000000016,0.18632635000000164,-0.5883989999999999,0.2745862,-0.8629851999999999,-0.196133,0.088,0.8629851999999999,0.33342609999999995,0.33342609999999995,0.0,10.076675266816615,1.0275349142486594,43.662456,-79.395071,108.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0921944494761235,7.531900018114045,0.603,0.0,0.0,2.0921944494761235,7.531900018114045,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,507.036288,0.08492857824,305.742881664,472.26626726399996,0.13118507423999998,1.4513277555201505,137254.0,1783556743254000.0,1783556743000000.0
1.0,16519.330378645085,24288.0,100.42714318762785,-995.7118124877103,-22.479586914277462,1004.1016477161003,0.10042714318762784,-0.9957118124877103,-0.022479586914277462,1.0041016477161002,1.0036922061381675,1.0036922061381675,9.842858173324858,0.003692206138167394,0.03620817332485926,0.9848538437409505,0.8272740416463735,0.157579802094577,0.31174754318069625,-9.764597245932604,-9.467364830589377,-0.29723241534322836,0.17870955976619227,-0.2204494410128991,0.2781016416463736,-0.49855108265927256,-0.196133,0.10042714318762784,0.9848538437409505,0.31174754318069625,0.31174754318069625,-0.03607081001548036,9.842858173324858,1.0036922061381675,43.66245623898352,-79.39508342714319,108.7,-1.0007811496395478,0.026417238735631385,0.23898352283899704,1.0,1.0,1.0,2.5921944494761235,9.331900018114045,0.6025220329543219,1.0,0.0,2.5921944494761235,9.331900018114045,0.5,-0.02640224815983056,0.02640224815983056,0.0,0.0,0.0,0.0,401.22149623653183,0.06719606810486908,241.9058451775287,481.496741720538,0.13374909492237166,1.185412480023139,137397.62909722625,1783556743397629.0,1783556743238983.5
2.0,12162.660757290168,24288.0,112.8542863752557,-969.4236249754207,15.040826171445076,980.2032954322005,0.1128542863752557,-0.9694236249754207,0.015040826171445074,0.9802032954322006,0.9798494980276754,0.9798494980276754,9.609041079833101,-0.020150501972324604,-0.19760892016689707,1.1067224874819013,0.8307894832927472,0.2759330041891541,0.29006898636139256,-9.50679819186521,-9.461505761178755,-0.045292430686455165,0.1710927695323829,0.1475001179742017,0.28161708329274715,-0.13411696531854522,-0.196133,0.1128542863752557,1.1067224874819013,0.29006898636139256,0.29006898636139256,-0.07214162003096072,9.609041079833101,0.9798494980276754,43.66245647796705,-79.39509585428638,108.7,-2.0015622992790956,0.05283447747126277,0.4779670456779941,2.0,2.0,2.0,3.0921944494761235,11.131900018114045,0.602044065908644,2.0,0.0,3.0921944494761235,11.131900018114045,1.0,-0.05280449631966112,0.05280449631966112,0.0,0.0,0.0,0.0,295.40670447306366,0.04946355796973817,178.06880869105743,490.727216177076,0.13631311560474332,0.9194972045261272,137541.25819445247,1783556743541258.2,1783556743477967.0
3.0,7805.991135935252,24288.0,125.28142956288355,-943.135437463131,52.561239257167614,956.3049431483009,0.12528142956288355,-0.943135437463131,0.0525612392571676,0.956304943148301,0.9560067899171834,0.9560067899171834,9.375223986341346,-0.043993210082816606,-0.43142601365865346,1.228591131222852,0.8343049249391207,0.39428620628373123,0.26839042954208886,-9.248999137797814,-9.455646691768132,0.2066475539703181,0.16347597929857355,0.5154496769613024,0.2851325249391207,0.23031715202218217,-0.196133,0.12528142956288355,1.228591131222852,0.26839042954208886,0.26839042954208886,-0.10821243004644109,9.375223986341346,0.9560067899171834,43.66245671695057,-79.39510828142956,108.7,-3.0023434489186434,0.07925171620689415,0.7169505685169911,3.0,3.0,3.0,3.5921944494761235,12.931900018114046,0.601566098862966,3.0,0.0,3.5921944494761235,12.931900018114046,1.5,-0.07920674447949169,0.07920674447949169,0.0,0.0,0.0,0.0,189.59191270959542,0.03173104783460726,114.23177220458615,499.95769063361405,0.138877136287115,0.6535819290291155,137684.88729167872,1783556743684887.2,1783556743716950.5
4.0,3449.321514580337,24288.0,137.7085727505114,-916.8472499508413,90.08165234289015,932.4065908644012,0.1377085727505114,-0.9168472499508413,0.09008165234289015,0.9324065908644013,0.9321640818066914,0.9321640818066914,9.14140689284959,-0.0678359181933086,-0.6652431071504097,1.3504597749638025,0.8378203665854942,0.5126394083783083,0.24671187272278516,-8.99120008373042,-9.44978762235751,0.45858753862709123,0.15585918906476418,0.8833992359484033,0.2886479665854943,0.5947512693629095,-0.196133,0.1377085727505114,1.3504597749638025,0.24671187272278516,0.24671187272278516,-0.14428324006192145,9.14140689284959,0.9321640818066914,43.6624569559341,-79.39512070857275,108.7,-4.003124598558191,0.10566895494252554,0.9559340913559882,4.0,4.0,4.0,4.092194449476123,14.731900018114045,0.601088131817288,4.0,0.0,4.092194449476123,14.731900018114045,2.0,-0.10560899263932225,0.10560899263932225,0.0,0.0,0.0,0.0,83.77712094612724,0.013998537699476343,50.39473571811487,509.1881650901521,0.14144115696948667,0.38766665353210383,137828.51638890494,1783556743828516.5,1783556743955934.0
5.0,106.19229011075095,24288.0,130.85095772141304,-1034.8918323016453,1.4591374492539604,1043.2283700691748,0.13085095772141303,-1.0348918323016452,0.001459137449253958,1.043228370069175,1.0437916476727367,1.0437916476727367,10.236099361649842,0.04379164767273661,0.42944936164984243,1.283209544538695,0.8266228010122431,0.456586743526452,0.14102363778640165,-10.148821987240927,-9.485635437719719,-0.6631865495212085,0.12878889385986197,0.014309250266726345,0.30400615,-0.2896968997332736,-0.19326879898775692,0.13085095772141303,1.283209544538695,0.14102363778640165,0.14102363778640165,-0.13907166028597664,10.236099361649842,1.0437916476727367,43.66245738942296,-79.39513312499699,108.7,-5.003042531410965,0.15358681453478562,1.0,4.1852514419638585,5.0,4.1852514419638585,4.184388898952247,15.06380003622809,0.6038317311162351,0.8156111010477529,0.0,4.184388898952247,15.06380003622809,1.6848201704580525,-0.12005751146159956,0.12005751146159956,0.0,0.0,0.0,0.0,2.579198342209919,0.00043068205610979004,1.5504554019952443,512.5750909636687,0.14238196971213019,0.5552889159396001,138576.63217689586,1783556744576632.2,1783556744194711.5
6.0,178.76644957806465,24288.0,146.6071897110272,-1012.6898690435526,-10.23867114909595,1023.8911762637393,0.14660718971102718,-1.0126898690435526,-0.010238671149095952,1.0238911762637393,1.0243505107297157,1.0243505107297157,10.045446936047565,0.02435051072971564,0.2387969360475658,1.4377253969796446,0.8301345249313555,0.6075908720482892,0.1275620294298037,-9.931095104255952,-9.500852908035874,-0.4302421962200795,0.136397629017939,-0.10040706442428175,0.30400615,-0.40441321442428174,-0.18975707506864442,0.14660718971102718,1.4377253969796446,0.1275620294298037,0.1275620294298037,-0.12575069886504106,10.045446936047565,1.0243505107297157,43.66245786688454,-79.39514553899795,108.7,-6.002765312931608,0.20636541695098548,1.0,4.186308983984195,6.0,4.186308983984195,4.184388898952247,15.06380003622809,0.6023993463899066,1.815611101047753,0.0,4.184388898952247,15.06380003622809,1.185348941468221,-0.13180359650374177,0.13180359650374177,0.0,0.0,0.0,0.0,4.3418795273520345,0.0007235184203234493,2.604666313164418,513.7941763468757,0.14272060454079882,0.8209229748589242,138719.63191874098,1783556744719632.0,1783556744433442.2
7.0,251.3406090453784,24288.0,162.36342170064137,-990.4879057854599,-21.93647974744586,1004.5539824583038,0.16236342170064136,-0.9904879057854599,-0.02193647974744586,1.0045539824583039,1.0049093737866948,1.0049093737866948,9.854794510445288,0.004909373786694662,0.048144510445289224,1.5922412494205944,0.833646248850468,0.7585950005701265,0.11410042107320581,-9.71336822127098,-9.516070378352028,-0.19729784291895047,0.144006364176016,-0.2151233791152899,0.30400615,-0.5191295291152899,-0.18624535114953195,0.16236342170064136,1.5922412494205944,0.11410042107320581,0.11410042107320581,-0.11242973744410548,9.854794510445288,1.0049093737866948,43.66245834434611,-79.39515795299891,108.7,-7.002488094452252,0.25914401936718534,1.0,4.187366526004531,7.0,4.187366526004531,4.184388898952247,15.06380003622809,0.600966961663578,2.815611101047753,0.0,4.184388898952247,15.06380003622809,0.6858777124783892,-0.143549681545884,0.143549681545884,0.0,0.0,0.0,0.0,6.10456071249415,0.0010163547845371086,3.6588772243335907,515.0132617300828,0.14305923936946743,1.0865570337782484,138862.63166058614,1783556744862631.8,1783556744672173.0
8.0,323.9147685126921,24288.0,178.11965369025552,-968.2859425273672,-33.63428834579577,985.2167886528682,0.1781196536902555,-0.9682859425273672,-0.033634288345795765,0.9852167886528682,0.9854682368436737,0.9854682368436737,9.66414208484301,-0.014531763156326316,-0.14250791515698746,1.7467571018615442,0.8371579727695805,0.9095991290919637,0.10063881271660788,-9.495641338286005,-9.531287848668182,0.03564651038217859,0.15161509933409303,-0.329839693806298,0.30400615,-0.6338458438062979,-0.18273362723041944,0.1781196536902555,1.7467571018615442,0.10063881271660788,0.10063881271660788,-0.09910877602316989,9.66414208484301,0.9854682368436737,43.66245882180769,-79.39517036699988,108.7,-8.002210875972894,0.3119226217833852,1.0,4.188424068024868,8.0,4.188424068024868,4.184388898952247,15.06380003622809,0.5995345769372494,3.815611101047753,0.0,4.184388898952247,15.06380003622809,0.18640648348855748,-0.1552957665880262,0.1552957665880262,0.0,0.0,0.0,0.0,7.867241897636266,0.0013091911487507677,4.713088135502764,516.2323471132898,0.14339787419813607,1.3521910926975726,139005.63140243126,1783556745005631.5,1783556744910903.8
9.0,302.0995483125414,24288.0,173.52133178125888,-959.0473937982963,-27.521331781258873,975.4597167954566,0.17352133178125886,-0.9590473937982962,-0.027521331781258873,0.9754597167954566,0.9755874390165884,0.9755874390165884,9.567244558832025,-0.024412560983411657,-0.2394054411679739,1.7016629683126823,0.8361331060980155,0.8655298622146667,0.08666220670905943,-9.405042124392061,-9.547087490241934,0.14204536584987254,0.14939455487903547,-0.2698920683126823,0.30400615,-0.5738982183126823,-0.1790875560980155,0.17352133178125886,1.7016629683126823,0.08666220670905943,0.08666220670905943,-0.09411238138344219,9.567244558832025,0.9755874390165884,43.662458682464596,-79.39518277961731,108.7,-9.001822239743062,0.29651963685801674,1.0,4.1505619810774315,9.0,4.1505619810774315,4.1468354466228465,14.928607607842247,0.599158767700284,4.1505619810774315,0.0,4.1468354466228465,14.928607607842247,-0.037553452329400494,-0.1470035222483355,0.1470035222483355,0.0,0.0,0.0,0.0,7.3373938294150065,0.0012209068661848562,4.395264718265482,516.7868077715359,0.14355189104764887,1.4513277555201505,139154.26062017036,1783556745154260.5,1783556745158767.8
